,weight
1INCH,8.241159864977122e-13
AAVE,2.1386225581431336e-13
ADA,2.550037272041699e-13
AIOZ,1.49553443997891e-12
AKT,1.5634471180407307e-12
ALGO,2.332867135840933e-13
AMP,6.254031673095806e-13
APE,1.102577931928861e-12
APT,2.948618792632714e-13
AR,1.89760518452669e-12
ARB,3.998891399179192e-13
ATOM,3.7429338097120146e-13
AVAX,1.966677030877077e-13
AXL,4.719470681261815e-13
AXS,1.3901474271949502e-12
BCH,0.04348033240202821
BDX,0.19761936920702203
BGB,1.2143641712063062e-12
BNB,2.4136241269806023e-12
BONK,0.01666593018635238
BSV,1.480892719740188e-12
BTC,2.425161393642221e-12
BTT,1.6673805318328464e-13
CAKE,8.88096154953687e-13
CFX,0.013193879835546868
CHZ,5.480094554625599e-13
CKB,1.502133640570249e-12
COMP,1.0031772489433826e-12
CRO,0.03534798470730828
CRV,1.9179427145460078e-13
CTC,3.9195003549815184e-14
CVX,0.012236735617711955
DAI,3.2292707576992304e-12
DASH,2.524437941559585e-13
DCR,1.0931321012933718e-12
DEXE,8.324844130360048e-13
DOGE,1.1684267453569898e-12
DYDX,3.3375604660283317e-13
EGLD,1.2516220185353412e-12
ENS,1.1146822478890364e-13
EOS,3.106924803417393e-13
ETC,7.461541641609554e-13
ETH,2.0460489103056065e-12
FDUSD,3.202702578748052e-12
FET,1.6657882469926628e-12
FIL,9.08125976228681e-13
FLOKI,3.347348570586246e-13
FLOW,7.30309247200477e-13
FLR,1.718919689347818e-12
FLUID,0.015839787208754758
FTN,0.04560507411200175
FTT,6.367257415687103e-13
GALA,1.5502683772052606e-12
GAS,1.5726230545417175e-12
GNO,3.278099020156493e-13
GOHM,0.05801875482211174
GRT,1.2579976709632576e-12
GT,9.970239379741009e-13
HBAR,2.0648213470504197e-13
HNT,1.071407738372816e-12
ICP,4.367732629355039e-13
IMX,1.6818607396058412e-12
INJ,1.5702160682928614e-12
IOTX,0.033502958314906316
JASMY,1.927109913801254e-12
JST,1.0893929580484703e-12
KAS,1.1764698315878954e-12
KAVA,1.4299363919382215e-13
KCS,1.69397689053444e-12
LDO,1.3973714097202244e-12
LEO,3.230019780109446e-12
LINK,1.6633222638734603e-13
LPT,1.3175876469991177e-12
LTC,1.9551720892340452e-12
LUNC,1.8372919243731365e-13
MANA,1.0349857832125165e-12
MATIC,1.1826316165949567e-13
MINA,1.4147545372035058e-12
MIOTA,1.3274402239762361e-12
MKR,8.702263768660834e-14
MOG,8.708023231029343e-13
MSQ,3.8403394400004047e-13
MWC,2.714555479116365e-12
NEAR,9.41059196926129e-13
NEO,1.124587513312184e-12
NEXO,1.6265458065599782e-12
NFT,0.03371614950345941
OKB,9.348760931131728e-13
OM,3.720491083762191e-12
OP,6.687178696791226e-13
PAXG,0.05665342038730436
PENDLE,1.4998827328297882e-12
PEPE,1.5492698466468534e-12
PI,2.504622495265709e-12
QNT,4.829337373985669e-13
RAY,1.5643221703321217e-13
RNDR,1.9016106779326077e-12
RONIN,5.043255859322222e-13
RSR,1.0767585046162804e-12
RUNE,1.980866936449747e-12
SAFE,8.200018105066184e-13
SAND,1.3125630257232044e-12
SFP,1.9468230370325683e-13
SHIB,7.041282435764679e-13
SNEK,1.3368344951196575e-12
SOL,7.064168516463567e-13
SPX,2.1974054145727374e-13
STX,9.583487685166145e-13
SUI,6.503442768294834e-13
SUN,2.4972631844551894e-12
SUPER,8.614322080537461e-13
TAO,8.771087836907812e-13
TEL,2.2631932525338662e-13
TFUEL,1.568417279908363e-12
THETA,1.1269868974231897e-12
TON,1.1001558273621548e-12
TOSHI,1.7767801361326532e-13
TRIBE,0.08111051534480182
TRX,0.07311036459393455
TURBO,3.0320341985910856e-13
TUSD,3.173294363799925e-12
TWT,1.294170889190372e-13
UNI,1.4516333058735676e-12
USDC,3.2336512801197217e-12
USDD,3.230618567960075e-12
USDJ,0.028464620731288023
USDS,3.144873114284425e-12
USDT,3.2217478835790004e-12
VELO,2.855747354758016e-13
VET,1.1401050030252515e-12
WBT,0.0985607918950014
WEMIX,0.009888763981062062
WLD,2.3386689891920537e-12
XAUT,0.0684957098995317
XCN,1.0426242379911446e-12
XDC,0.07848885728745528
XEC,4.631177685058826e-13
XLM,1.0577368107946974e-12
XMR,6.889733528916556e-13
XRP,1.182944880675829e-12
XTZ,9.620775792162968e-13
